Item_ID,Item_Name,Category,Fat_Content,Weight
ITM0455,Lay's Classic #455,Bakery,Low  Fat,1.48
ITM0456,Tropicana OJ #456,Vegetables,low fat,4.77
ITM0457,Chicken Breast #457,Snacks,Regular ,4.60
ITM0458,Chicken Breast #458,Beverages,Regular,1.68
ITM0459,Cadbury Dairy Milk #459,Frozen,Regular,1.42
ITM0460,Coca-Cola #460,Personal Care,regular,3.87
ITM0461,Haldiram Mixture #461,Meat,LOW FAT,
ITM0462,Horlicks #462,Snacks,regular,
ITM0463,Frozen Peas #463,Frozen,LOW FAT,2.52
ITM0464,Parle-G Biscuit #464,Meat,Low  Fat,2.87
ITM0465,Lay's Classic #465,Vegetables,Low Fat,3.94
ITM0466,Spinach #466,Snacks,LOW FAT,4.96
ITM0467,Tropicana OJ #467,Beverages,Regular,4.40
ITM0468,Maggi Noodles #468,Vegetables,Low Fat,4.53
ITM0469,Tropicana OJ #469,Frozen,regular,1.25
ITM0470,Amul Butter #470,Snacks,Regular,0.75
ITM0471,Amul Butter #471,Personal Care,Low Fat,4.10
ITM0472,Chicken Breast #472,Frozen, LOW FAT  ,1.98
ITM0473,Britannia Bread #473,Snacks,low fat,1.57
ITM0474,Chicken Breast #474,Beverages,Low Fat,0.14
ITM0475,Haldiram Mixture #475,Personal Care,regular,3.77
ITM0476,Frozen Peas #476,Personal Care,Low Fat,0.79
ITM0477,Haldiram Mixture #477,Frozen,LOW FAT,0.79
ITM0478,Dove Soap #478,Snacks,Low  Fat,3.63
ITM0479,Tropicana OJ #479,Dairy,Regular,2.60
ITM0480,Lay's Classic #480,Meat,Regular ,4.78
ITM0481,Dove Soap #481,Snacks,LOW FAT,0.45
ITM0482,Haldiram Mixture #482,Dairy,low fat,4.32
ITM0483,Dettol Handwash #483,Vegetables,regular,2.41
ITM0484,Amul Butter #484,Snacks, Low  Fat  ,
ITM0485,Tata Salt #485,Dairy,Low  Fat,3.59
ITM0486,Tata Salt #486,Frozen,Low Fat,2.73
ITM0487,Tropicana OJ #487,Snacks,Low Fat,1.10
ITM0488,Tata Salt #488,Vegetables,Low  Fat,4.19
ITM0489,Tropicana OJ #489,Snacks,regular,4.77
ITM0490,Coca-Cola #490,Bakery,LOW FAT,
ITM0491,Britannia Bread #491,Beverages,Low Fat,3.54
ITM0492,KitKat #492,Vegetables,Low  Fat,3.63
ITM0493,Maggi Noodles #493,Beverages,regular,
ITM0494,Maggi Noodles #494,Frozen, Low  Fat  ,3.59
ITM0495,Cadbury Dairy Milk #495,Snacks,LOW FAT,0.37
ITM0496,Haldiram Mixture #496,Beverages,Regular,0.60
ITM0497,Dove Soap #497,Snacks,regular,0.32
ITM0498,Lay's Classic #498,Bakery,LOW FAT,4.61
ITM0499,Dettol Handwash #499,Dairy,Regular ,3.73
ITM0500,Dove Soap #500,Vegetables,LOW FAT,1.67
